"HOST_ID","HOST_NAME","HOST_SINCE","HOST_TENURE_YEARS","IS_SUPERHOST","SUPERHOST_FLAG","RESPONSE_RATE","HOST_RESPONSE_SEGMENT","HOST_CREATED_AT","ETL_LOADED_AT","DBT_SCD_ID","DBT_UPDATED_AT","DBT_VALID_FROM","DBT_VALID_TO"
10001,"MANON RICHARD","2025-03-04",1,"TRUE",1,94,"GOOD","2025-03-11 07:08:47.000","2026-08-06T10:58:24","1c7d5f5d08062f975dafd1905b1921a6","2025-03-11 07:08:47.000","2025-03-11 07:08:47.000","9999-12-31 00:00:00.000"
10002,"NOAH LEFEBVRE","2024-08-15",2,"FALSE",0,41,"LOW","2024-08-22 16:38:01.000","2026-08-06T10:58:24","9bee9bc98d1dd6cc3ce9f1c322133d25","2024-08-22 16:38:01.000","2024-08-22 16:38:01.000","9999-12-31 00:00:00.000"
10003,"CAMILLE SIMON","2025-04-15",1,"FALSE",0,87,"GOOD","2025-05-03 08:51:55.000","2026-08-06T10:58:24","358118e699673c4d502991f65bde4086","2025-05-03 08:51:55.000","2025-05-03 08:51:55.000","9999-12-31 00:00:00.000"
10004,"NINA PETIT","2025-10-30",1,"FALSE",0,57,"LOW","2025-11-29 10:06:05.000","2026-08-06T10:58:24","1219a31d0902252e55830dc77c720428","2025-11-29 10:06:05.000","2025-11-29 10:06:05.000","9999-12-31 00:00:00.000"
10005,"NINA RICHARD","2022-01-10",4,"FALSE",0,78,"LOW","2022-02-02 14:34:07.000","2026-08-06T10:58:24","3febefd31d8b0bafc6821811aa86cd46","2022-02-02 14:34:07.000","2022-02-02 14:34:07.000","9999-12-31 00:00:00.000"
10006,"CHLOE DUBOIS","2024-03-11",2,"TRUE",1,100,"ELITE","2024-03-30 11:36:12.000","2026-08-06T10:58:24","46630cfc91187a99e8fb548dbb4db4a6","2024-03-30 11:36:12.000","2024-03-30 11:36:12.000","9999-12-31 00:00:00.000"
10007,"NINA ROUX","2025-06-01",1,"TRUE",1,94,"GOOD","2025-06-03 07:55:06.000","2026-08-06T10:58:24","8812885bf59034e8fba2952d74f1f207","2025-06-03 07:55:06.000","2025-06-03 07:55:06.000","9999-12-31 00:00:00.000"
10008,"CHLOE SIMON","2023-02-01",3,"FALSE",0,85,"GOOD","2023-02-12 06:42:17.000","2026-08-06T10:58:24","a77f3a7e2067f28cb2c8450f399831e9","2023-02-12 06:42:17.000","2023-02-12 06:42:17.000","9999-12-31 00:00:00.000"
10009,"LEA MOREL","2023-12-28",3,"FALSE",0,94,"GOOD","2024-01-05 20:44:35.000","2026-08-06T10:58:24","3a66f86ead4ae4dc84a7d89f119b751c","2024-01-05 20:44:35.000","2024-01-05 20:44:35.000","9999-12-31 00:00:00.000"
10010,"CHLOE MICHEL","2018-08-18",8,"TRUE",1,90,"GOOD","2018-09-12 10:25:17.000","2026-08-06T10:58:24","435738a0e1b17991f50ee93e5707d3bc","2018-09-12 10:25:17.000","2018-09-12 10:25:17.000","9999-12-31 00:00:00.000"
10011,"ANNA LEROY","2024-05-12",2,"FALSE",0,86,"GOOD","2024-05-24 20:29:09.000","2026-08-06T10:58:24","764785f326bf6ee88b38c7bd55e08de5","2024-05-24 20:29:09.000","2024-05-24 20:29:09.000","9999-12-31 00:00:00.000"
10012,"LEA LEROY","2020-10-07",6,"FALSE",0,88,"GOOD","2020-10-20 18:25:23.000","2026-08-06T10:58:24","38c499f4af53e33cbeefe8f964cbe8bc","2020-10-20 18:25:23.000","2020-10-20 18:25:23.000","9999-12-31 00:00:00.000"
10013,"SIMON ROBERT","2023-09-19",3,"FALSE",0,43,"LOW","2023-10-09 05:50:43.000","2026-08-06T10:58:24","2b393a1a755c0682dd7afcec1df69627","2023-10-09 05:50:43.000","2023-10-09 05:50:43.000","9999-12-31 00:00:00.000"
10014,"CAMILLE DURAND","2022-04-26",4,"TRUE",1,97,"ELITE","2022-05-12 08:35:55.000","2026-08-06T10:58:24","41a81428e2f75cff6f7e15f00de76774","2022-05-12 08:35:55.000","2022-05-12 08:35:55.000","9999-12-31 00:00:00.000"
10015,"CAMILLE BERTRAND","2025-08-24",1,"FALSE",0,57,"LOW","2025-09-02 13:10:29.000","2026-08-06T10:58:24","83c183d94b0341fcabf88d2982cff84d","2025-09-02 13:10:29.000","2025-09-02 13:10:29.000","9999-12-31 00:00:00.000"
10016,"JULIE MOREAU","2023-08-13",3,"FALSE",0,83,"GOOD","2023-09-08 20:32:38.000","2026-08-06T10:58:24","3b8a749478b3d43c7d8adbacb6bd484c","2023-09-08 20:32:38.000","2023-09-08 20:32:38.000","9999-12-31 00:00:00.000"
10017,"LOUIS MERCIER","2022-03-12",4,"FALSE",0,74,"LOW","2022-03-31 10:31:01.000","2026-08-06T10:58:24","ecd2d3d8d15bb78517a4c0546aad2351","2022-03-31 10:31:01.000","2022-03-31 10:31:01.000","9999-12-31 00:00:00.000"
10018,"MALIK ROBERT","2021-06-13",5,"TRUE",1,93,"GOOD","2021-07-11 18:05:05.000","2026-08-06T10:58:24","aefa3001f7bdb02d15f5792bed567e1b","2021-07-11 18:05:05.000","2021-07-11 18:05:05.000","9999-12-31 00:00:00.000"
10019,"ROSE GARNIER","2023-12-22",3,"FALSE",0,95,"ELITE","2023-12-27 08:33:55.000","2026-08-06T10:58:24","236918259f4e28f445515c1ec6061909","2023-12-27 08:33:55.000","2023-12-27 08:33:55.000","9999-12-31 00:00:00.000"
10020,"ETHAN CHEVALIER","2020-05-17",6,"FALSE",0,89,"GOOD","2020-06-07 20:23:28.000","2026-08-06T10:58:24","912318230b8a67b1b82862fa0734d007","2020-06-07 20:23:28.000","2020-06-07 20:23:28.000","9999-12-31 00:00:00.000"
10021,"LEA GARCIA","2019-05-11",7,"TRUE",1,91,"GOOD","2019-05-21 00:37:35.000","2026-08-06T10:58:24","cb456fb675cf6231cca3539a4985a956","2019-05-21 00:37:35.000","2019-05-21 00:37:35.000","9999-12-31 00:00:00.000"
10022,"EMMA GIRARD","2018-01-30",8,"TRUE",1,100,"ELITE","2018-01-31 07:04:57.000","2026-08-06T10:58:24","5fcefa38711f3a976670573f1afc4f9c","2018-01-31 07:04:57.000","2018-01-31 07:04:57.000","9999-12-31 00:00:00.000"
10023,"SARAH LEGRAND","2018-10-18",8,"TRUE",1,94,"GOOD","2018-11-08 15:13:34.000","2026-08-06T10:58:24","d5ba04901e258102cf37f5d31be45d79","2018-11-08 15:13:34.000","2018-11-08 15:13:34.000","9999-12-31 00:00:00.000"
